timestamp,symbol,underlier,action,quantity,market_price,execution_price,fee,cash_after,realized_pnl
09:15:00,NIFTY22110318150CE,NIFTY,BUY,1,69.65,69.684825,0.013936965,999930.301238035,0.0
09:15:00,NIFTY22110318150PE,NIFTY,BUY,1,107.1,107.15354999999998,0.02143071,999823.1262573249,0.0
09:15:00,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,270.0,270.135,0.054027,999552.937230325,0.0
09:15:00,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,414.15,414.35707499999995,0.08287141499999999,999138.4972839099,0.0
09:15:40,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,264.8,264.66760000000005,0.05293352000000001,999403.1119503899,-5.57436051999994
09:15:40,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,338.65,338.480675,0.067696135,999741.5249292549,-76.02696754999994
09:15:40,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,219.95,220.05997499999998,0.044011995,999521.42094226,0.0
09:15:40,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,395.65,395.84782499999994,0.079169565,999125.493947695,0.0
09:15:58,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,216.15,216.04192500000002,0.04320838500000001,999341.49266431,-4.1052703799999595
09:15:58,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,403.35,403.14832500000006,0.08062966500000002,999744.560359645,7.140700770000113
09:15:58,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,263.25,263.381625,0.052676325,999481.12605832,0.0
09:15:58,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,346.5,346.67325,0.06933465,999134.38347367,0.0
09:16:01,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,255.75,255.622125,0.05112442500000001,999389.954474245,-7.863300749999975
09:16:01,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,343.35,343.17832500000003,0.06863566500000001,999733.06416358,-3.6328953149999665
09:16:01,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,210.05,210.155025,0.042031005,999522.867107575,0.0
09:16:01,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,397.2,397.3986,0.07947972,999125.3890278549,0.0
09:16:02,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,212.55,212.44372500000003,0.04248874500000001,999337.7902641098,2.204180250000034
09:16:02,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,400.05,399.84997500000003,0.07996999500000002,999737.5602691148,2.2919252850000413
09:16:02,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,258.3,258.42915,0.05168583,999479.0794332848,0.0
09:16:02,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,344.55,344.72227499999997,0.068944455,999134.2882138299,0.0
09:16:07,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,261.45,261.319275,0.052263855000000005,999395.5552249749,2.786175315000012
09:16:07,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,343.65,343.478175,0.068695635,999738.9647043399,-1.3817400899999464
09:16:07,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,214.15,214.257075,0.042851415,999524.6647779249,0.0
09:16:07,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,397.3,397.49865,0.07949973,999127.0866281949,0.0
09:16:09,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,215.15,215.042425,0.043008485000000006,999342.0860447099,0.6994901000000224
09:16:09,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,399.05,398.850475,0.07977009500000001,999740.8567496149,1.1925551750000194
09:16:09,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,261.2,261.33059999999995,0.05226611999999999,999479.473883495,0.0
09:16:09,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,341.75,341.92087499999997,0.06838417499999999,999137.48462432,0.0
09:16:11,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,258.55,258.420725,0.051684145,999395.8536651749,-3.0138252649999426
09:16:11,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,344.3,344.12785,0.06882557,999739.9126896049,2.069765255000057
09:16:11,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,214.95,215.05747499999998,0.043011495,999524.81220311,0.0
09:16:11,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,397.75,397.948875,0.079589775,999126.783738335,0.0
09:16:12,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,213.1,212.99345,0.04259869,999339.734589645,-2.149635184999987
09:16:12,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,400.65,400.449675,0.080089935,999740.1041747101,2.3411202900000263
09:16:12,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,258.6,258.7293,0.051745860000000005,999481.3231288501,0.0
09:16:12,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,344.3,344.47215,0.06889443,999136.7820844201,0.0
09:16:14,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,259.15,259.020425,0.051804085,999395.750705335,0.18757505499996543
09:16:14,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,342.6,342.42870000000005,0.06848574000000002,999738.1109195951,-2.18083016999995
09:16:14,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,213.85,213.95692499999998,0.042791385,999524.1112032101,0.0
09:16:14,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,397.55,397.74877499999997,0.079549755,999126.2828784551,0.0
09:16:17,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,211.85,211.744075,0.042348815000000005,999337.9846046402,-2.297990199999975
09:16:17,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,400.3,400.09985000000006,0.08001997000000001,999738.0044346702,2.191505275000094
09:16:17,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,258.1,258.22905000000003,0.05164581000000001,999479.7237388602,0.0
09:16:17,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,345.35,345.522675,0.06910453500000001,999134.1319593252,0.0
09:16:19,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,258.5,258.37075,0.05167415,999392.4510351751,0.03838003999995752
09:16:19,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,342.7,342.52865,0.06850573000000001,999734.9111794451,-3.1316352649999653
09:16:19,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,213.9,214.00695,0.04280139,999520.8614280551,0.0
09:16:19,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,396.6,396.7983,0.07935966,999123.9837683951,0.0
09:16:25,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,212.2,212.0939,0.04241878,999336.0352496152,-1.9982701699999983
09:16:25,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,401.45,401.249275,0.08024985500000001,999737.2042747602,4.2913654850000285
09:16:25,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,257.75,257.878875,0.051575775000000004,999479.2738239852,0.0
09:16:25,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,345.95,346.122975,0.069224595,999133.0816243902,0.0
09:31:57,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,251.95,251.824025,0.050364805000000006,999384.8552845852,-6.156790579999988
09:31:57,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,335.15,334.982425,0.066996485,999719.7707131002,-11.27677108000002
09:31:57,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,205.0,205.1025,0.0410205,999514.6271926002,0.0
09:31:57,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,389.2,389.39459999999997,0.07787892,999125.1547136802,0.0
09:32:00,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,205.7,205.59715,0.04111943,999330.7107442501,0.4125100700000071
09:32:00,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,389.55,389.355225,0.07787104500000001,999719.9880982051,-0.19512496499995
09:32:00,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,250.4,250.52519999999998,0.050105039999999997,999469.4127931651,0.0
09:32:00,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,335.05,335.21752499999997,0.067043505,999134.1282246601,0.0
09:32:08,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,252.5,252.37375,0.050474750000000006,999386.4514999101,1.7479702100000172
09:32:08,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,333.2,333.03340000000003,0.06660668000000002,999719.4182932301,-2.3177751849999377
09:32:08,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,205.25,205.352625,0.041070525,999514.0245977051,0.0
09:32:08,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,386.05,386.243025,0.077248605,999127.7043241002,0.0
09:32:13,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,205.85,205.747075,0.041149415,999333.4102496852,0.3122300600000062
09:32:13,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,387.9,387.70605,0.07754121,999721.0387584752,1.308235185000016
09:32:13,BANKNIFTY22110341600CE,BANKNIFTY,BUY,1,251.95,252.07597499999997,0.050415194999999996,999468.9123682802,0.0
09:32:13,BANKNIFTY22110341600PE,BANKNIFTY,BUY,1,333.95,334.11697499999997,0.066823395,999134.7285698853,0.0
09:32:25,BANKNIFTY22110341600CE,BANKNIFTY,SELL,1,252.8,252.67360000000002,0.050534720000000005,999387.3516351653,0.4966750850000504
09:32:25,BANKNIFTY22110341600PE,BANKNIFTY,SELL,1,332.1,331.93395000000004,0.06638679000000001,999719.2191983752,-2.31623518499993
09:32:25,BANKNIFTY22110341700CE,BANKNIFTY,BUY,1,206.15,206.253075,0.041250615000000004,999512.9248727602,0.0
09:32:25,BANKNIFTY22110341700PE,BANKNIFTY,BUY,1,386.05,386.243025,0.077248605,999126.6045991553,0.0
09:33:00,BANKNIFTY22110341700CE,BANKNIFTY,SELL,1,203.75,203.64812500000002,0.040729625000000005,999330.2119945303,-2.686930239999974
09:33:00,BANKNIFTY22110341700PE,BANKNIFTY,SELL,1,387.65,387.456175,0.07749123499999999,999717.5906782952,1.0584101599999844
