timestamp,date,time,portfolio_value,cash,positions,pnl,daily_pnl
20221101 09:35:59,20221101,09:35:59,499889.48825206386,499126.28825206385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-110.51174793613609,-110.51174793613609
20221101 09:36:59,20221101,09:36:59,499888.58825206384,499126.28825206385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-111.41174793615937,-111.41174793615937
20221101 09:37:59,20221101,09:37:59,499890.08825206384,499126.28825206385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-109.91174793615937,-109.91174793615937
20221101 09:38:59,20221101,09:38:59,499889.6882520639,499126.28825206385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-110.31174793612445,-110.31174793612445
20221101 09:39:59,20221101,09:39:59,499888.08825206384,499126.28825206385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341600CE:1; BANKNIFTY22110341600PE:1,-111.91174793615937,-111.91174793615937
20221101 09:40:59,20221101,09:40:59,499884.67845652386,499118.47845652385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-115.32154347613687,-115.32154347613687
20221101 09:41:59,20221101,09:41:59,499887.5784565238,499118.47845652385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-112.42154347617179,-112.42154347617179
20221101 09:42:59,20221101,09:42:59,499886.5784565238,499118.47845652385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-113.42154347617179,-113.42154347617179
20221101 09:43:59,20221101,09:43:59,499886.92845652386,499118.47845652385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-113.07154347613687,-113.07154347613687
20221101 09:44:59,20221101,09:44:59,499913.17845652386,499118.47845652385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-86.82154347613687,-86.82154347613687
20221101 09:45:59,20221101,09:45:59,499906.8284565238,499118.47845652385,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341700CE:1; BANKNIFTY22110341700PE:1,-93.17154347617179,-93.17154347617179
20221101 09:46:59,20221101,09:46:59,499906.2787907359,499107.5287907359,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-93.72120926412754,-93.72120926412754
20221101 09:47:59,20221101,09:47:59,499905.5287907359,499107.5287907359,NIFTY22110318150CE:1; NIFTY22110318150PE:1; BANKNIFTY22110341800CE:1; BANKNIFTY22110341800PE:1,-94.47120926412754,-94.47120926412754
